"Source:","/home/rob/Documents/PlatformIO/Projects/OpenHVPS/Kicad files/OpenHVPS-5/OpenHVPS-5.kicad_sch"
"Date:","Sun 07 Feb 2021 04:32:00 PM JST"
"Tool:","Eeschema 5.99.0-unknown-65ca3da22d~101~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","67"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","R22","20k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-6ENF2002V/111532"
"","","R23","3.16M","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-073M16L/727809"
"","","U1","MAX6008AEUR+T","Reference_Voltage:MAX6035xxUR30","Package_TO_SOT_SMD:SOT-23","https://www.digikey.com/en/products/detail/maxim-integrated/MAX6008AEUR-T/1519060"
"","","U2","74HC14","74xx:74HC14","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","https://www.digikey.com/en/products/detail/texas-instruments/CD74HC14M96/390309"
"","","U3","MAX4162","Amplifier_Operational:TLV2371DBV","Package_TO_SOT_SMD:SOT-23-5","https://www.digikey.com/en/products/detail/maxim-integrated/MAX4162EUK-T/470825"
"","","U4","CD14538BM","4xxx:4538","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://www.digikey.com/en/products/detail/texas-instruments/CD14538BM/1690553"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","C1","150pF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/885012207111/9346002"
"2","3","C2, C5, C23","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B105KOFNNNG/3894469"
"3","2","C3, C24","1nF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.jp/product-detail/en/CL21B105KOFNNNG/1276-6471-1-ND/5958099/?itemSeq=353431115"
"4","1","C4","10uF","Device:C","Capacitor_SMD:C_1210_3225Metric","https://www.digikey.com/en/products/detail/taiyo-yuden/EMK325BJ106KN-T/930729"
"5","14","C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104K125AA/2733184"
"6","1","C22","360pF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/kemet/C0805C361J1GAC7800/2212653"
"7","2","D1, D2","BAS16J","Diode:1N4148W","Diode_SMD:D_SOD-323","https://www.digikey.com/en/products/detail/nexperia-usa-inc/BAS16J135/2405996"
"8","7","D3, D4, D5, D6, D7, D8, D9","BAV23","Diode:BAV99","Package_TO_SOT_SMD:SOT-23","https://www.digikey.com/en/products/detail/on-semiconductor/BAV23S/965240"
"9","1","F1","Polyfuse","Device:Polyfuse_Small","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/murata-electronics/PRG21BC0R2MM1RA/966726"
"10","2","FB1, FB2","BKP2125HS221-T","Device:Ferrite_Bead","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/bourns-inc/MH2029-221Y/3767626"
"11","1","H1","Cathode","Mechanical:MountingHole_Pad","TestPoint:TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded","~"
"12","1","H2","Anode","Mechanical:MountingHole_Pad","TestPoint:TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded","~"
"13","1","J1","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"14","1","L1","2.2uH","2021-01-06_02-33-04:NRS6020T2R2NMGJ","Inductor_SMD:L_Taiyo-Yuden_MD-4040","https://www.digikey.com/en/products/detail/taiyo-yuden/NRS6020T2R2NMGJ/2665967"
