"Source:","C:\Users\allan\OneDrive - Joho NZ\Safecast\1.2.1d\SafePulse\SafePulse.kicad_sch"
"Date:","2021.05.11 9:36:31 PM"
"Tool:","Eeschema (5.99.0-10336-g9846076676)"
"Generator:","C:\Program Files\KiCad\5.99\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","76"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey"
"10","1","F1","Polyfuse","Device:Polyfuse_Small","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/murata-electronics/PRG21BC0R6MM1RA/2595395?s=N4IgTCBcDaICwE4AMBaAHAVgIyqygcgCIgC6AvkA","490-8510-1-ND"
"11","2","FB1, FB2","74279220321","Device:Ferrite_Bead","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/74279220321/5051034","732-6125-1-ND"
"12","1","H1","Cathode","Mechanical:MountingHole_Pad","TestPoint:TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded","~",""
"13","2","H2, H4","Anode","Mechanical:MountingHole_Pad","TestPoint:TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded","~",""
"14","1","J1","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~",""
"15","1","L1","4.7uH","2021-01-06_02-33-04:NRS6020T2R2NMGJ","Inductor_SMD:L_Taiyo-Yuden_MD-4040","https://www.digikey.com/en/products/detail/taiyo-yuden/MDWK4040T4R7MM/5880041","587-4451-1-ND"
"16","1","Q1","FQT7N10L","Transistor_FET:IRF6655","Package_TO_SOT_SMD:SOT-223-3_TabPin4","https://www.digikey.com/en/products/detail/on-semiconductor/FQT7N10LTF/965354","FQT7N10LTFCT-ND"
"17","1","Q2","BC846A","Transistor_BJT:BC846","Package_TO_SOT_SMD:SOT-23","https://www.digikey.com/en/products/detail/diodes-incorporated/BC846A-7-F/1934446","BC846A-7FDICT-ND"
"18","2","Q3, Q4","MMBT3906","Transistor_BJT:MMBT3906","Package_TO_SOT_SMD:SOT-23","https://www.digikey.com/en/products/detail/on-semiconductor/MMBT3906LT1G/919605","MMBT3906LT1GOSCT-ND"
"19","1","R1","4.99M","Device:R","Resistor_SMD:R_1206_3216Metric","https://d1d2qsbl8m0m72.cloudfront.net/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr-e.pdf","RHM4.99MAICT-ND"
"20","1","R3","100K","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT100K/1760712","RMCF0805FT100KCT-ND"
"21","1","R4","10K","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCP0805FTD10K0/2240262","RNCP0805FTD10K0CT-ND"
"22","3","R5, R12, R25","100","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CRG0805F100R/2380830","A106053CT-ND"
"23","1","R6","121k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/koa-speer-electronics-inc/RK73H2ATTD1213F/10235721","2019-RK73H2ATTD1213FCT-ND"
"24","4","R7, R8, R9, R10","22M","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT22M0/6053747","RMCF0805FT22M0CT-ND"
"25","1","R11","33k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CRGCQ0805F33K/8576369","A129767CT-ND"
"26","2","R13, R19","100k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT100K/1760712","RMCF0805FT100KCT-ND"
"27","1","R14","357k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/koa-speer-electronics-inc/RK73H2ATTD3573F/10234401","2019-RK73H2ATTD3573FCT-ND"
"28","1","R15","220k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.bourns.com/docs/product-datasheets/CRxxxxx.pdf","CR0805-FX-2203ELFCT-ND"
